英語,日本語,品詞,例文英語１,例文日本語１,例文英語2,例文日本語2,例文英語3,例文日本語3,例文英語4,例文日本語4,last_learned_date,mistake_count,correct_count
mess,"混乱,錯乱",名詞,Your room is in a mess.,あなたの部屋は散らかっています。,The party was a complete mess.,パーティーは完全な混乱状態だった。,I made a mess of the kitchen.,私は台所を散らかしてしまった。,He is in a financial mess.,彼は経済的に混乱している。,,0,0
by chance,"偶然に,たまたま",熟語,I met her by chance at the station.,私は駅で偶然彼女に会った。,Did you find this by chance?,あなたはこれを偶然見つけたのですか？,We happened to be on the same train by chance.,私たちはたまたま偶然同じ電車に乗っていた。,"By chance, I had my camera with me.",偶然にも、私はカメラを持っていた。,,0,0
emphasize,"を強調する,力説する",動詞,The teacher emphasized the importance of homework.,先生は宿題の重要性を強調した。,I want to emphasize this point.,私はこの点を強調したい。,He emphasized that the project must be finished on time.,彼はプロジェクトを時間通りに終えなければならないと力説した。,The report emphasizes the need for more funding.,その報告書はさらなる資金提供の必要性を強調している。,,0,0
scientist,"科学者,研究者",名詞,He is a famous scientist.,彼は有名な科学者です。,Scientists are working to find a cure for the disease.,科学者たちはその病気の治療法を見つけるために研究している。,She wants to be a scientist in the future.,彼女は将来、科学者になりたいと思っている。,A team of scientists discovered the new species.,科学者のチームが新種を発見した。,,0,0
government,"政府,行政府,内閣",名詞,The government has announced a new policy.,政府は新しい政策を発表した。,He works for the government.,彼は政府機関で働いている。,The government is trying to reduce unemployment.,政府は失業率を下げようと努力している。,The people elected a new government.,国民は新しい政府を選んだ。,,0,0
therefore,"それゆえ,だから",副詞,"He was busy; therefore, he could not come.",彼は忙しかった。それゆえ、来ることができなかった。,"I think, therefore I am.",我思う、ゆえに我あり。,She is a talented musician and therefore very popular.,彼女は才能ある音楽家で、だからとても人気がある。,"The train was late, and therefore I missed my appointment.",電車が遅れたので、私は約束に遅れた。,,0,0
community,"共同社会,共同体",名詞,He is an active member of the local community.,彼は地域社会の積極的な一員です。,The new library will benefit the entire community.,新しい図書館は地域社会全体に利益をもたらすでしょう。,There is a strong sense of community in this town.,この町には強い共同体意識がある。,The international community must work together.,国際社会は協力しなければならない。,,0,0
portable,"持ち運べる,携帯用の",形容詞,I have a portable music player.,私は携帯用の音楽プレーヤーを持っています。,This is a small and portable computer.,これは小型で持ち運び可能なコンピュータです。,He bought a portable TV.,彼は携帯用のテレビを買った。,Portable devices are very convenient.,携帯用の機器はとても便利だ。,,0,0
estimate,"を推定する,評価する",動詞,Can you estimate the cost of the repair?,修理費用を見積もってもらえますか？,"The population is estimated to be around 100,000.",人口は約10万人と推定されている。,I estimate that the journey will take about two hours.,その旅は約2時間かかると私は見積もっている。,It is difficult to estimate the number of people affected.,影響を受けた人々の数を推定するのは難しい。,,0,0
complicated,"複雑な,繁雑な",形容詞,The instructions are too complicated.,説明書が複雑すぎる。,It is a complicated problem.,それは複雑な問題だ。,Their relationship is very complicated.,彼らの関係は非常に複雑だ。,He explained the complicated rules in a simple way.,彼は複雑なルールを簡単な方法で説明した。,,0,0
climate,"気候,天候",名詞,Japan has a temperate climate.,日本は温暖な気候です。,Climate change is a serious global issue.,気候変動は深刻な地球規模の問題です。,This plant is not suitable for a cold climate.,この植物は寒い気候には適していない。,The political climate is changing.,政治情勢は変化している。,,0,0
affect,"に影響を与える,に作用する",動詞,The weather affects my mood.,天気は私の気分に影響を与える。,Smoking can affect your health.,喫煙はあなたの健康に影響を与える可能性がある。,His speech affected everyone deeply.,彼のスピーチは皆に深く影響を与えた。,The new law will affect many people.,新しい法律は多くの人々に影響を与えるだろう。,,0,0
predict,"を予想する,を予測する",動詞,It is difficult to predict the future.,未来を予測することは難しい。,The weather forecast predicts rain for tomorrow.,天気予報は明日の雨を予測している。,No one could have predicted the outcome.,誰もその結果を予測できなかっただろう。,She predicted that the team would win.,彼女はそのチームが勝つだろうと予測した。,,0,0
allow,"を許可する,許す",動詞,My parents don't allow me to stay out late.,私の両親は私が遅くまで外出することを許さない。,Smoking is not allowed in this building.,この建物内での喫煙は許可されていません。,Please allow me to introduce myself.,自己紹介させてください。,The new system allows us to work more efficiently.,新しいシステムは私たちがより効率的に働くことを可能にする。,,0,0
inform,"情報を与える,に知らせる",動詞,Please inform me of any changes.,変更があれば私に知らせてください。,I was informed that the meeting had been canceled.,私は会議がキャンセルされたことを知らされた。,We will inform you of the results by email.,結果はメールでお知らせします。,He informed the police about the accident.,彼は警察に事故について知らせた。,,0,0
strategy,"戦略,戦術",名詞,We need a new strategy to increase sales.,売上を伸ばすためには新しい戦略が必要です。,What is your strategy for winning the game?,その試合に勝つためのあなたの戦略は何ですか？,The company adopted a new marketing strategy.,その会社は新しいマーケティング戦略を採用した。,His strategy was successful.,彼の戦略は成功した。,,0,0
particular,"特定の,明確な",形容詞,Is there any particular reason why you don't like it?,それが好きではない特定の理由はありますか？,I have no particular plans for the weekend.,週末に特定の予定はありません。,This particular model is very popular.,この特定のモデルは非常に人気があります。,She paid particular attention to the details.,彼女は細部に特に注意を払った。,,0,0
immediately,"即座に,直ちに",副詞,Please call me back immediately.,すぐに折り返しお電話ください。,He left immediately after the meeting.,彼は会議の直後に去った。,I recognized her immediately.,私はすぐに彼女だとわかった。,We need to take action immediately.,私たちは直ちに行動を起こす必要がある。,,0,0
argue,"だと主張する,感情的に論じる",動詞,They are always arguing about money.,彼らはいつもお金のことで口論している。,He argued that the plan was too risky.,彼はその計画は危険すぎると主張した。,I don't want to argue with you.,私はあなたと口論したくない。,She argued for a change in the law.,彼女は法律の改正を主張した。,,0,0
ability,"能力,力量",名詞,He has the ability to solve complex problems.,彼には複雑な問題を解決する能力がある。,She has a great ability for learning languages.,彼女には言語を学ぶ素晴らしい能力がある。,This test measures your mathematical ability.,このテストはあなたの数学的能力を測定します。,I have confidence in his ability.,私は彼の能力を信頼している。,,0,0
replace,"を取り換える,を交換する",動詞,I need to replace the battery in my watch.,私は腕時計の電池を交換する必要がある。,We will replace the broken window tomorrow.,私たちは明日、割れた窓を交換します。,Can you replace the old one with a new one?,古いのを新しいのと交換できますか？,Nothing can replace a mother's love.,母親の愛に代わるものはない。,,0,0
instead,"代わりに,その代わり",副詞,I don't have coffee. Would you like tea instead?,コーヒーがありません。代わりに紅茶はいかがですか？,"He didn't go to the party. Instead, he stayed home and watched a movie.",彼はパーティーに行かなかった。その代わり、家にいて映画を見た。,"Don't just talk, do something instead.",話しているだけでなく、代わりに何か行動しなさい。,I will go instead of my brother.,兄の代わりに私が行きます。,,0,0
develop,"を発達させる,を開発する",動詞,The company is developing a new software.,その会社は新しいソフトウェアを開発している。,Children need to develop their social skills.,子供たちは社会性を発達させる必要がある。,The city has developed rapidly in recent years.,その都市は近年急速に発展した。,He developed an interest in photography.,彼は写真に興味を持つようになった。,,0,0
moreover,"さらに,その上",副詞,"The book is interesting. Moreover, it is easy to read.",その本は面白い。さらに、読みやすい。,"He is a good leader. Moreover, he is very kind.",彼は良いリーダーだ。その上、とても親切だ。,"The plan is too expensive. Moreover, it is not practical.",その計画は費用がかかりすぎる。さらに、実用的ではない。,"She is beautiful, and moreover, she is intelligent.",彼女は美しく、その上、知的だ。,,0,0
not only A but also B,"AだけでなくBもまた,Aと同様Bも",熟語,He can not only speak English but also French.,彼は英語だけでなくフランス語も話せます。,She is not only a good singer but also a great dancer.,彼女は歌が上手いだけでなく、ダンスも素晴らしい。,This book is not only interesting but also informative.,この本は面白いだけでなく、有益でもある。,Not only the students but also the teacher was surprised.,生徒だけでなく先生も驚いた。,,0,0
more and more,"ますます多くの,更に",熟語,More and more people are using smartphones.,ますます多くの人々がスマートフォンを使っている。,It is getting more and more difficult to find a job.,仕事を見つけるのがますます難しくなっている。,She became more and more beautiful.,彼女はますます美しくなった。,I am getting more and more interested in history.,私はますます歴史に興味を持つようになっている。,,0,0
consider,"について考える,だと見なす",動詞,Please consider my suggestion.,私の提案を検討してください。,I consider him a good friend.,私は彼を良い友達だと見なしている。,We need to consider all the options.,私たちはすべての選択肢を考慮する必要がある。,She is considered to be one of the best artists.,彼女は最高の芸術家の一人と見なされている。,,0,0
employment,"雇用,採用",名詞,He is looking for employment.,彼は職を探している。,The employment rate has increased this year.,今年の雇用率は上昇した。,The company offers stable employment.,その会社は安定した雇用を提供している。,She found employment as a teacher.,彼女は教師としての職を見つけた。,,0,0
expense,"費用,出費,犠牲",名詞,We need to cut down on our living expenses.,私たちは生活費を切り詰める必要がある。,The trip was a great expense.,その旅行は大きな出費だった。,He succeeded at the expense of his health.,彼は健康を犠牲にして成功した。,All expenses will be paid by the company.,すべての費用は会社によって支払われます。,,0,0
furthermore,"さらに,その上",副詞,"The house is beautiful. Furthermore, it is in a good location.",その家は美しい。さらに、良い場所にあります。,"He is a hard worker. Furthermore, he is always punctual.",彼は勤勉だ。その上、いつも時間を守る。,"I don't want to go. Furthermore, I am very tired.",私は行きたくない。さらに、とても疲れている。,"The plan is well-designed. Furthermore, it is cost-effective.",その計画はよく設計されている。さらに、費用対効果が高い。,,0,0
convert,"を変える,転換する",動詞,You can convert this file to a different format.,このファイルを別の形式に変換できます。,The old factory was converted into apartments.,古い工場はアパートに転換された。,He converted to a new religion.,彼は新しい宗教に改宗した。,The sofa can be converted into a bed.,そのソファはベッドに変えることができる。,,0,0
pollution,"汚染,汚れ",名詞,Air pollution is a serious problem in big cities.,大気汚染は、大都市における深刻な問題です。,We must reduce water pollution.,私たちは水質汚染を減らさなければならない。,The factory is a source of pollution.,その工場は汚染源だ。,Pollution has a bad effect on our health.,汚染は私たちの健康に悪い影響を与える。,,0,0
development,"発展,発達,開発",名詞,The development of new technology is important.,新しい技術の開発は重要です。,The country has shown rapid economic development.,その国は急速な経済発展を遂げた。,This area is under development.,この地域は開発中です。,Child development is a complex process.,子供の発達は複雑なプロセスです。,,0,0
be likely to,"する可能性が高い,しそうになる",熟語,It is likely to rain tomorrow.,明日は雨が降る可能性が高い。,He is likely to be late for the meeting.,彼は会議に遅れる可能性が高い。,She is likely to win the competition.,彼女はその競争に勝つ可能性が高い。,The new law is likely to be controversial.,新しい法律は物議を醸す可能性が高い。,,0,0
improve,"を改善する,改良する",動詞,I want to improve my English skills.,私は英語のスキルを向上させたい。,The company is trying to improve its products.,その会社は製品を改良しようと努力している。,The weather is improving.,天気は回復してきている。,His health has improved a lot.,彼の健康は大幅に改善した。,,0,0
evidence,"証拠,証明",名詞,There is no evidence that he committed the crime.,彼がその犯罪を犯したという証拠はない。,The police are looking for more evidence.,警察はさらなる証拠を探している。,Her smile was evidence of her happiness.,彼女の笑顔は彼女の幸福の証だった。,The scientist presented clear evidence for his theory.,その科学者は彼の理論に対する明確な証拠を提示した。,,0,0
common,"共通の,共同の",形容詞,We have a common interest in music.,私たちは音楽という共通の興味を持っている。,It is a common mistake.,それはよくある間違いです。,The two countries share a common border.,その2つの国は共通の国境を接している。,This is a common plant in this area.,これはこの地域では一般的な植物です。,,0,0
publish,"を出版する,発行する",動詞,The company will publish a new magazine next month.,その会社は来月、新しい雑誌を出版します。,He published his first novel last year.,彼は昨年、最初の小説を出版した。,The results of the study will be published soon.,その研究結果はまもなく公表されるだろう。,She wants to get her article published in a scientific journal.,彼女は自分の論文を科学雑誌に掲載してもらいたいと思っている。,,0,0
ill,"病気で,気分の悪い",形容詞,He has been ill for a week.,彼は1週間病気です。,She felt ill and went home early.,彼女は気分が悪くなり、早く家に帰った。,I am worried about my ill mother.,私は病気の母のことが心配だ。,He is mentally ill.,彼は精神的に病んでいる。,,0,0
profit,"利益,もうけ",名詞,The company made a huge profit last year.,その会社は昨年、莫大な利益を上げた。,He sold his car for a profit.,彼は車を売って利益を得た。,The main purpose of a business is to make a profit.,ビジネスの主な目的は利益を上げることです。,We can profit from this opportunity.,私たちはこの機会から利益を得ることができる。,,0,0
extremely,"極端に,過度に",副詞,It is extremely cold today.,今日は極端に寒いです。,She is an extremely talented singer.,彼女は極めて才能のある歌手だ。,I am extremely tired.,私は極度に疲れている。,He was extremely angry about the news.,彼はそのニュースに極度に腹を立てていた。,,0,0
on the other hand,"一方で,他方で",熟語,"This car is expensive. On the other hand, it is very reliable.",この車は高価です。一方で、非常に信頼性が高い。,"I want to go to the party. On the other hand, I have to study.",私はパーティーに行きたい。一方で、勉強しなければならない。,"He is very smart. On the other hand, he is a little lazy.",彼はとても賢い。一方で、少し怠け者だ。,"Living in the city is convenient. On the other hand, it can be stressful.",都会での生活は便利だ。一方で、ストレスがたまることもある。,,0,0
suffer from,"で苦しむ,悩まされる",熟語,He suffers from a chronic illness.,彼は慢性的な病気に苦しんでいる。,Many people suffer from stress.,多くの人々がストレスに悩まされている。,The country is suffering from a severe drought.,その国は深刻な干ばつに苦しんでいる。,She suffers from a fear of heights.,彼女は高所恐怖症に悩まされている。,,0,0
rather,"むしろ,どちらかといえば",副詞,I would rather stay home than go out.,私は外出するよりはむしろ家にいたい。,It is rather cold today.,今日はどちらかといえば寒い。,"He is not lazy, but rather, he is very efficient.",彼は怠け者なのではなく、むしろ非常に効率的だ。,"Would you like tea or coffee? I'd rather have coffee.""",お茶とコーヒーのどちらがいいですか？ 「どちらかといえばコーヒーがいいです。」,,0,0
invest in,"に投資する,に資本を提供する",熟語,He invested a lot of money in the stock market.,彼は株式市場に多額のお金を投資した。,The company plans to invest in new technology.,その会社は新しい技術に投資する計画だ。,It is important to invest in your education.,自分の教育に投資することは重要だ。,She invested all her savings in the business.,彼女は貯金のすべてをその事業に投資した。,,0,0
achieve,"を達成する,到達する",動詞,She achieved her goal of becoming a doctor.,彼女は医者になるという目標を達成した。,He worked hard to achieve success.,彼は成功を収めるために一生懸命働いた。,What do you want to achieve in your life?,あなたは人生で何を達成したいですか？,The team achieved a great victory.,そのチームは素晴らしい勝利を収めた。,,0,0
probably,"おそらく,大抵",副詞,It will probably rain tomorrow.,明日はおそらく雨が降るでしょう。,He is probably the best player on the team.,彼はおそらくチームで最高のアスリートだろう。,She will probably be late.,彼女はおそらく遅れるだろう。,I will probably go to the party.,私はおそらくそのパーティーに行くだろう。,,0,0
amount,"量,額",名詞,A large amount of money was stolen.,多額のお金が盗まれた。,Please add a small amount of sugar.,少量の砂糖を加えてください。,What is the total amount?,合計金額はいくらですか？,The amount of work has increased.,仕事の量が増えた。,,0,0
preserved,"保存された,保管された",形容詞,These are well-preserved ancient ruins.,これらはよく保存された古代遺跡です。,The meat is preserved in salt.,その肉は塩漬けで保存されている。,This is a preserved specimen.,これは保存された標本です。,The old traditions are still preserved in this village.,この村では古い伝統がまだ保存されている。,,0,0
prevent,"を妨げる,予防する",動詞,The new law is intended to prevent accidents.,新しい法律は事故を防ぐことを目的としている。,Washing your hands can help prevent the spread of disease.,手を洗うことは病気の蔓延を防ぐのに役立つ。,His injury prevented him from playing in the game.,彼の怪我は彼が試合に出るのを妨げた。,We must do something to prevent this from happening again.,私たちはこれが再び起こるのを防ぐために何かをしなければならない。,,0,0
bilingual,二か国語を話せる,形容詞,She is bilingual in English and Japanese.,彼女は英語と日本語のバイリンガルです。,He grew up in a bilingual family.,彼はバイリンガルの家庭で育った。,Being bilingual is a great advantage.,バイリンガルであることは大きな利点です。,The school offers a bilingual education program.,その学校はバイリンガル教育プログラムを提供している。,,0,0
overall,"全体的な,全部の",形容詞,The overall cost of the project was high.,プロジェクトの全体的な費用は高かった。,"Overall, it was a good experience.",全体的に見て、それは良い経験だった。,What is your overall impression of the movie?,その映画の全体的な印象はどうですか？,The overall quality of the product is excellent.,その製品の全体的な品質は素晴らしい。,,0,0
stare at,"をじっと見つめる,を凝視する",熟語,Don't stare at people like that.,そんな風に人をじっと見つめないでください。,He was staring at the beautiful painting.,彼はその美しい絵をじっと見つめていた。,The cat was staring at the bird.,猫はその鳥を凝視していた。,She stared at him in disbelief.,彼女は信じられないという様子で彼をじっと見つめた。,,0,0
